0	0.90	1.30	0.54	0.00	-0.25
1	1.30	1.50	0.18	-0.30	0.95
2	1.90	1.85	1.46	1.41	-2.96
3	2.10	2.10	1.05	-0.37	-0.45
4	2.60	2.60	0.04	-1.04	0.45
5	3.00	2.70	-0.63	-0.50	0.17
6	3.90	2.40	-0.52	-0.03	0.08
7	4.40	2.15	-0.44	0.08	1.31
8	4.70	2.05	0.44	1.27	-1.58
9	5.00	2.10	0.06	-0.16	0.04
10	6.00	2.25	0.05	-0.03	-0.00
11	7.00	2.30	-0.04	-0.04	-0.02
12	8.00	2.25	-0.32	-0.11	0.02
13	9.20	1.95	-0.42	-0.05	-0.01
14	10.50	1.40	-0.64	-0.10	-0.02
15	11.30	0.90	-0.79	-0.15	1.21
16	11.60	0.70	0.01	0.94	-0.84
17	12.00	0.60	-0.19	-0.06	0.04
18	12.60	0.50	-0.18	0.00	-0.45
19	13.00	0.40	-0.61	-0.54	0.60
20	13.30	0.25	0	0	0
